ID,TITLE,LINK,ADDRESS,SALARY,EXPERIENCE,LEVEL,LOCATION,JOB_NAME
384,Kỹ Sư / Kỹ Thuật Điện - Điện Tử - Công Nghệ Thông Tin,https://timviecnhanh.com/tuyen-ky-su-ky-thuat-dien-dien-tu-cong-nghe-thong-tin-tp-hcm-100178678.html,"32 Đường số 7, Khu dân cư Cityland Center Hills, Phường 7, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",7 - 15 triệu,1 năm,Trung cấp,TP.HCMHà Nội,Điện/Điện tử/Điện lạnhCông nghệ thông tinY tế
385,Kỹ Thuật Viên Chuyên Sửa Chữa Máy In - Máy Tính - Máy Photocopy (Thu Nhập Lên Đến 15 Triệu),https://timviecnhanh.com/tuyen-ky-thuat-vien-chuyen-sua-chua-may-in-may-tinh-may-photocopy-thu-nhap-len-den-15-trieu-tp-hcm-100163920.html,"1245 Phan Văn Trị, P10, Quận Gò Vấp, HCM",7 - 15 triệu ( + Hoa hồng từ 5% đến 10%),3 năm,Không yêu cầu,TP.HCM,Công nghệ thông tinTrang thiết bị văn phòngCơ khí/Kĩ thuật ứng dụng
386,Nhân Viên Kinh Doanh Thu Nhập Trên 12 Triệu,https://timviecnhanh.com/tuyen-nhan-vien-kinh-doanh-thu-nhap-tren-12-trieu-tp-hcm-100180231.html,"286/1 Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1",12 - 15 triệu,Dưới 1 năm,Trung học,TP.HCM,Kinh doanhCông nghệ thông tinLao động phổ thông
387,Nhân Viên Marketing (Nhận Việc Ngay),https://timviecnhanh.com/tuyen-nhan-vien-marketing-nhan-viec-ngay-tp-hcm-100172809.html,"Lô 60 Đường số 2, Khu công nghiệp Tân Tạo, Phường Tân Tạo, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",10 - 12 triệu,1 năm,Trung cấp,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinBáo chí/Biên tập viên
388,Nhân Viên Giám Sát Xây Lắp Viễn Thông - Xây Dựng,https://timviecnhanh.com/tuyen-nhan-vien-giam-sat-xay-lap-vien-thong-xay-dung-tp-hcm-100167284.html,"61 Đường số 3, KP 9",10 - 25 triệu,2 năm,Cao đẳng,TP.HCM,Xây dựngCông nghệ thông tinBưu chính viễn thông
389,Kỹ Thuật Viên Máy Tính,https://timviecnhanh.com/tuyen-ky-thuat-vien-may-tinh-tp-hcm-100172839.html,"1331/15/56 Lê Đức Thọ, Phường 14, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",15 - 20 triệu,1 năm,Trung cấp,TP.HCM,Công nghệ thông tinBưu chính viễn thôngĐiện/Điện tử/Điện lạnh
390,Nhân Viên Kỹ Thuật Kiêm Giao Hàng,https://timviecnhanh.com/tuyen-nhan-vien-ky-thuat-kiem-giao-hang-tp-hcm-100166607.html,"33/1 Hoàng Diệu, P.10, Quận Phú Nhuận",7 - 10 triệu,Dưới 1 năm,Trung cấp,TP.HCM,Công nghệ thông tinĐiện/Điện tử/Điện lạnhSinh viên/Mới tốt nghiệp/Thực tập
391,Nhân Viên Thiết Kế Hình Ảnh / Chỉnh Sửa Video,https://timviecnhanh.com/tuyen-nhan-vien-thiet-ke-hinh-anh-chinh-sua-video-tp-hcm-100173521.html,"758/28/25 Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",7 - 10 triệu,Dưới 1 năm,Không yêu cầu,TP.HCM,Thiết kế/Mỹ thuậtCông nghệ thông tinQuảng cáo/Marketing/PR
392,Nhân Viên IT - Kỹ Thuật Viên,https://timviecnhanh.com/tuyen-nhan-vien-it-ky-thuat-vien-tp-hcm-100167920.html,"758 Trường Chinh, Phường 15, Quận Tân Bình, Tp. HCM.",7 - 10 triệu ( + Hoa hồng từ 1% đến 3%),Dưới 1 năm,Trung cấp,TP.HCM,Công nghệ thông tinKinh doanhChăm sóc khách hàng
393,Nhân Viên Content Marketing,https://timviecnhanh.com/tuyen-nhan-vien-content-marketing-tp-hcm-100166314.html,"823 Đường 3/2, Phường 7, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",7 - 10 triệu,1 năm,Trung cấp,TP.HCM,Quảng cáo/Marketing/PRBáo chí/Biên tập viênCông nghệ thông tin
394,Nhân Viên Thiết Kế Đồ Họa,https://timviecnhanh.com/tuyen-nhan-vien-thiet-ke-do-hoa-tp-hcm-100172370.html,"06 Phan Văn Trị, Phường 14, Quận Bình Thạnh",7 - 10 triệu,1 năm,Cao đẳng,TP.HCM,Thiết kế/Mỹ thuậtCông nghệ thông tinQuảng cáo/Marketing/PR
395,Nhân Viên Vận Hành Máy In Kts Biết Photoshop,https://timviecnhanh.com/tuyen-nhan-vien-van-hanh-may-in-kts-biet-photoshop-tp-hcm-100167393.html,"Lô II-11, Đường CN 8, Nhóm CN II, KCN Tân Bình, P. Tây Thạnh, Q. Tân Phú, TP Hồ Chí Minh, Việt Nam.",7 - 10 triệu,Không yêu cầu kinh nghiệm,Lao động phổ thông,TP.HCM,Thiết kế/Mỹ thuậtQuảng cáo/Marketing/PRCông nghệ thông tin
396,"Nhân Viên Kỹ Thuật Phần Cứng (Sửa chữa - Lắp đặt PC, Laptop, Camera, Máy in)",https://timviecnhanh.com/tuyen-nhan-vien-ky-thuat-phan-cung-sua-chua-lap-dat-pc-laptop-camera-may-in-tp-hcm-100165465.html,"232/5/7 Bình Lợi, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh",5 - 10 triệu,Không yêu cầu kinh nghiệm,Không yêu cầu,TP.HCM,Công nghệ thông tinĐiện/Điện tử/Điện lạnhBưu chính viễn thông
397,Designer,https://timviecnhanh.com/tuyen-designer-tp-hcm-100168567.html,"40A Trần Cao Vân Phường Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh",12 - 15 triệu,5 năm,Cao đẳng,TP.HCM,Thiết kế/Mỹ thuậtCông nghệ thông tinQuảng cáo/Marketing/PR
398,"Quận 12 - Nhân Viên Kỹ Thuật Quay Phim, Xử Lý Hình Ảnh",https://timviecnhanh.com/tuyen-quan-12-nhan-vien-ky-thuat-quay-phim-xu-ly-hinh-anh-tp-hcm-100165692.html,"98 Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12",12 - 18 triệu,Dưới 1 năm,Không yêu cầu,TP.HCM,Nghệ thuật/Điện ảnhThiết kế/Mỹ thuậtCông nghệ thông tin
399,Chủ Quản Chuyên Viên Online Marketing,https://timviecnhanh.com/tuyen-chu-quan-chuyen-vien-online-marketing-tp-hcm-100173332.html,"102 Lê Tuấn Mậu, Phường 13, Quận 6, Thành phố Hồ Chí minh",10 - 50 triệu,2 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRQuản lý điều hànhCông nghệ thông tin
400,"Chuyên Viên IT Kiêm Bảo Trì - Làm Tại HCM, Đồng Tháp, Bảo Lộc - Lâm Đồng",https://timviecnhanh.com/tuyen-chuyen-vien-it-kiem-bao-tri-lam-tai-hcm-dong-thap-bao-loc-lam-dong-tp-hcm-100181372.html,"198 Hoàng Văn Thụ, phường 9, quận Phú Nhuận, TP. Hồ Chí Minh",10 - 12 triệu,1 năm,Cao đẳng,TP.HCMĐồng ThápLâm Đồng,Công nghệ thông tin
401,Nhân Viên Thiết Kế - Đi Làm Ngay,https://timviecnhanh.com/tuyen-nhan-vien-thiet-ke-di-lam-ngay-tp-hcm-100166740.html,"68 Lê Tuấn Mậu, Phường 13, Quận 6, Tp HCM",7 - 10 triệu,Chưa có kinh nghiệm,Chứng chỉ,TP.HCM,Thiết kế/Mỹ thuậtCông nghệ thông tinSinh viên/Mới tốt nghiệp/Thực tập
402,Nhân Viên Thiết Kế,https://timviecnhanh.com/tuyen-nhan-vien-thiet-ke-tp-hcm-100166529.html,"88 Bạch Đằng, Phường 2, Quận Tân Bình",6 - 9 triệu,Dưới 1 năm,Trung cấp,TP.HCM,Quảng cáo/Marketing/PRThiết kế/Mỹ thuậtCông nghệ thông tin
403,Nhân Viên Marketing,https://timviecnhanh.com/tuyen-nhan-vien-marketing-tp-hcm-100164586.html,"25 – 25A Đường 81, Phường Tân Quy, Quận 7, Tp. Hồ Chí Minh",12 - 20 triệu,1 năm,Đại học,TP.HCM,Quảng cáo/Marketing/PRXuất - Nhập khẩu/Ngoại thươngCông nghệ thông tin
404,Chuyên Viên Kinh Doanh [Thu Nhập 10M - 30M],https://timviecnhanh.com/tuyen-chuyen-vien-kinh-doanh-thu-nhap-10m-30m-tp-hcm-100168063.html,"385C Nguyễn Trãi, p. Nguyễn Cư Trinh, Quận 1, Tp.HCM",8 - 30 triệu ( + Hoa hồng từ 1% đến 5%),1 năm,Cao đẳng,TP.HCMHà Nội,Kinh doanhBưu chính viễn thôngCông nghệ thông tin
405,Nhân Viên Marketing Online,https://timviecnhanh.com/tuyen-nhan-vien-marketing-online-tp-hcm-100172121.html,"218 CHU VĂN AN, P.26, Q.BÌNH THẠNH",12 - 18 triệu,1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinThiết kế/Mỹ thuật
406,Nhân Viên Sửa Máy Tính - Laptop - Macbook - Đi Làm Ngay,https://timviecnhanh.com/tuyen-nhan-vien-sua-may-tinh-laptop-macbook-di-lam-ngay-tp-hcm-100174426.html,242A Hồ Văn Huê P9 Phú Nhuận,7 - 10 triệu,Dưới 1 năm,Không yêu cầu,TP.HCM,Công nghệ thông tinĐiện/Điện tử/Điện lạnhKhác
407,Nhân Viên IT,https://timviecnhanh.com/tuyen-nhan-vien-it-tp-hcm-100176798.html,"Lô D1, đường D4, KCN Đông Nam, Xã Hoà Phú, Huyện Củ Chi, TPHCM",7 - 10 triệu,1 năm,Trung cấp,TP.HCM,Công nghệ thông tin
408,"Nhân Viên Marketing (Facebook Ads, Google Ads)",https://timviecnhanh.com/tuyen-nhan-vien-marketing-facebook-ads-google-ads-tp-hcm-100169857.html,"Số 68 Đường Bình Quới, Phường 27, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",8 - 15 triệu,1 năm,Không yêu cầu,TP.HCM,Quảng cáo/Marketing/PRThiết kế/Mỹ thuậtCông nghệ thông tin
409,Nhân Viên Marketing Online,https://timviecnhanh.com/tuyen-nhan-vien-marketing-online-tp-hcm-100169196.html,"43D/44 Hồ Văn Huê, Phường 09, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",12 - 15 triệu,1 năm,Đại học,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinMỹ phẩm/Thời trang/Trang sức
410,Nhân Viên Thiết Kế,https://timviecnhanh.com/tuyen-nhan-vien-thiet-ke-tp-hcm-100172363.html,"165 Nguyễn Văn Cừ, Phường 02  Quận 5 TP Hồ Chí Minh.",8 - 15 triệu,Dưới 1 năm,Cao đẳng,TP.HCM,Thiết kế/Mỹ thuậtQuảng cáo/Marketing/PRCông nghệ thông tin
411,Nhân Viên Kỹ Thuật Máy Tính,https://timviecnhanh.com/tuyen-nhan-vien-ky-thuat-may-tinh-tp-hcm-100165789.html,"330 Lý Thường Kiệt, P14. Q 10",8 - 12 triệu,1 năm,Trung cấp,TP.HCM,Công nghệ thông tinThiết kế/Mỹ thuật
412,Nhân Viên IT - Đi Làm Sau Tết,https://timviecnhanh.com/tuyen-nhan-vien-it-di-lam-sau-tet-tp-hcm-100163888.html,"Số 5 Lê Trung Nghĩa, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",10 - 15 triệu,2 năm,Cao đẳng,TP.HCM,Công nghệ thông tinQuảng cáo/Marketing/PRThiết kế/Mỹ thuật
413,"Nhân Viên Vi Tính Co.Opmart (Bình Thạnh, Thủ Đức)",https://timviecnhanh.com/tuyen-nhan-vien-vi-tinh-co-opmart-binh-thanh-thu-duc-tp-hcm-100167315.html,"131 Điện Biên Phủ, Phường 15, Quận Bình Thạnh",5 - 7 triệu,Dưới 1 năm,Trung cấp,TP.HCM,Công nghệ thông tinKhác
414,Nhân Viên SEO - Marketing Online,https://timviecnhanh.com/tuyen-nhan-vien-seo-marketing-online-tp-hcm-100167964.html,"758 Trường Chinh, Phường 15, Quận Tân Bình, Tp. HCM.",12 - 15 triệu ( + Hoa hồng từ 1% đến 3%),1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinKinh doanh
415,Nhân Viên Quản Trị Web,https://timviecnhanh.com/tuyen-nhan-vien-quan-tri-web-tp-hcm-100185120.html,"Ấp Ông Non, Xã Tân Trung, Thị xã Gò Công, Tỉnh Tiền Giang, Việt Nam",12 - 15 triệu,1 năm,Cao đẳng,TP.HCM,Công nghệ thông tinQuảng cáo/Marketing/PR
416,"LẬP TRÌNH PHP _ PHP DEVELOPERS_ BÌNH THẠNH, PHÚ NHUẬN, TÂN BÌNH",https://timviecnhanh.com/tuyen-lap-trinh-php-php-developers-binh-thanh-phu-nhuan-tan-binh-tp-hcm-100184312.html,"261-263 PHAN XÍCH LONG, PHƯỜNG 2, QUẬN PHÚ NHUẬN",10 - 30 triệu,1 năm,Cao đẳng,TP.HCM,Công nghệ thông tinBưu chính viễn thôngĐiện/Điện tử/Điện lạnh
417,Cán Bộ Quản Lý Dự Bị,https://timviecnhanh.com/tuyen-can-bo-quan-ly-du-bi-tp-hcm-100177276.html,"Khu C, Lô số U.32b-34-36, đường số 22, Khu Chế Xuất Tân Thuận, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",7 - 10 triệu,Không yêu cầu kinh nghiệm,Cao đẳng,TP.HCM,Điện/Điện tử/Điện lạnhCơ khí/Kĩ thuật ứng dụngCông nghệ thông tin
418,"Nhân Viên Kỹ Thuật Tư Vấn Đào Tạo Bán Hàng (Được Training Các Vấn Đề Về Kỹ Thuật, Sản Phầm)",https://timviecnhanh.com/tuyen-nhan-vien-ky-thuat-tu-van-dao-tao-ban-hang-duoc-training-cac-van-de-ve-ky-thuat-san-pham-tp-hcm-100170242.html,"11A Hồng Hà, P.Tân Bình, TP.HCM",8 - 10 triệu,2 năm,Cao đẳng,TP.HCM,Công nghệ thông tinCơ khí/Kĩ thuật ứng dụngKinh doanh
419,"NV Kỹ Thuật Lắp Đặt Camera,tổng Đài, Mạng,báo Cháy, Báo Trộm, Cửa Từ, Chấm Công / Thi Công Dây",https://timviecnhanh.com/tuyen-nv-ky-thuat-lap-dat-camera-tong-dai-mang-bao-chay-bao-trom-cua-tu-cham-cong-thi-cong-day-tp-hcm-100165177.html,"65A Lý Phục Man, Phường Bình Thuận, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",7 - 10 triệu,Dưới 1 năm,Trung cấp,TP.HCM,Cơ khí/Kĩ thuật ứng dụngCông nghệ thông tinBưu chính viễn thông
420,"Nhân Viên Kinh Doanh Phần Mềm, Thiết Kế Website",https://timviecnhanh.com/tuyen-nhan-vien-kinh-doanh-phan-mem-thiet-ke-website-tp-hcm-100167607.html,Trụ sở: Tầng 6 - Tòa nhà Ladeco - 266 Đội Cấn - Ba Đình - Hà Nội  Chi nhánh: Lầu 3 - Tòa nhà Lữ Gia - Số 70 Lữ Gia - Phường 15 - Quận 11 - TP Hồ Chí Minh,10 - 12 triệu ( + Hoa hồng từ 5% đến 25%),Chưa có kinh nghiệm,Trung cấp,TP.HCMBình DươngGia LaiĐồng NaiBến Tre,Kinh doanhCông nghệ thông tinSinh viên/Mới tốt nghiệp/Thực tập
421,Nhân Viên SEO Marketing Website Facebook,https://timviecnhanh.com/tuyen-nhan-vien-seo-marketing-website-facebook-tp-hcm-100167396.html,"441/116 Lê Văn Quới, KP.6, P. Bình Trị Đông A, Q. Bình Tân, TP. Hồ Chí Minh",8 - 10 triệu,1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRBáo chí/Biên tập viênCông nghệ thông tin
422,Nhân Viên IT _ Quản Trị Web,https://timviecnhanh.com/tuyen-nhan-vien-it-quan-tri-web-tp-hcm-100172721.html,"108/20 Phan Huy Ích, Phường 15, Quận Tân Bình, TP.HCM",10 - 12 triệu,1 năm,Trung cấp,TP.HCM,Công nghệ thông tinThiết kế/Mỹ thuậtQuảng cáo/Marketing/PR
423,Nhân Viên Thiết Kế Đồ Họa,https://timviecnhanh.com/tuyen-nhan-vien-thiet-ke-do-hoa-tp-hcm-100171330.html,"270 Lũy Bán Bích, Phường Hoà Thạnh, Quận Tân phú, TP Hồ Chí Minh",7 - 10 triệu,Dưới 1 năm,Chứng chỉ,TP.HCM,Thiết kế/Mỹ thuậtQuảng cáo/Marketing/PRCông nghệ thông tin
424,"Nhân Viên Kỹ Thuật (Trung Tâm Bảo Hành Canon) Làm Việc Tại HCM, Bình Thuận, Đồng Nai, Bình Dương",https://timviecnhanh.com/tuyen-nhan-vien-ky-thuat-trung-tam-bao-hanh-canon-lam-viec-tai-hcm-binh-thuan-dong-nai-binh-duong-tp-hcm-100166438.html,"Tầng 14, Tòa nhà HM Town, 412 Nguyễn Thị Minh Khai, Phường 05, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",7 - 10 triệu,Chưa có kinh nghiệm,Trung cấp,TP.HCMBình DươngBình ThuậnĐồng NaiBình Phước,Điện/Điện tử/Điện lạnhCông nghệ thông tinTrang thiết bị văn phòng
425,Nhân Viên Marketing Online (Thu Nhập Đến 20 Triệu / Tháng),https://timviecnhanh.com/tuyen-nhan-vien-marketing-online-thu-nhap-den-20-trieu-thang-tp-hcm-100173503.html,340 Luỹ Bán Bích. P Hoà Thạnh. Q Tân Phú. TP HCM.,9 - 20 triệu,1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tin
426,Nhân Viên Data Analyst (Marketing),https://timviecnhanh.com/tuyen-nhan-vien-data-analyst-marketing-tp-hcm-100172756.html,"31 Phan Boi Chau, Ward 14, Binh Thanh District, HCMC",12 - 15 triệu,2 năm,Đại học,TP.HCM,Công nghệ thông tinQuảng cáo/Marketing/PRBưu chính viễn thông
427,Nhân Viên Thiết Kế Đồ Họa,https://timviecnhanh.com/tuyen-nhan-vien-thiet-ke-do-hoa-tp-hcm-100178805.html,"Lô C4-5, đường D4, KCN Tân Phú Trung, xã Tân Phú Trung, Củ Chi",12 - 15 triệu,1 năm,Cao đẳng,TP.HCM,Thiết kế/Mỹ thuậtCông nghệ thông tin
428,Nhân Viên Thiết Kế Truyền Thông 2D,https://timviecnhanh.com/tuyen-nhan-vien-thiet-ke-truyen-thong-2d-tp-hcm-100175706.html,"Phòng 301, Tầng 3, số 102A-B-C Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",7 - 10 triệu,1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRThiết kế/Mỹ thuậtCông nghệ thông tin
429,Nhân Viên IT Helpdesk - Support,https://timviecnhanh.com/tuyen-nhan-vien-it-helpdesk-support-tp-hcm-100123252.html,"197 Lý Thường Kiệt, Phường 7, Quận 11",5 - 10 triệu,Dưới 1 năm,Trung cấp,TP.HCM,Công nghệ thông tinSinh viên/Mới tốt nghiệp/Thực tậpĐiện/Điện tử/Điện lạnh
430,Trợ Lý Giám Đốc Cấp Cao,https://timviecnhanh.com/tuyen-tro-ly-giam-doc-cap-cao-tp-hcm-100171397.html,"27 Lê Văn Huân, Phường 13, Quận Tân Bình, TP Hồ Chí Minh",15 - 20 triệu,1 năm,Cao đẳng,TP.HCMToàn quốc,Hành chính/Thư ký/Trợ lýXuất - Nhập khẩu/Ngoại thươngNgoại ngữ
431,"Nhân Viên Nhập Liệu (Biết Tiếng Nhật, Không Yêu Cầu Kinh Nghiệm)",https://timviecnhanh.com/tuyen-nhan-vien-nhap-lieu-biet-tieng-nhat-khong-yeu-cau-kinh-nghiem-binh-duong-100180710.html,"Thửa đất số 1642 - 1643, Tờ bản đồ số 273, KĐC Việt Sing, Phường An Phú, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam.",8 - 10 triệu,Chưa có kinh nghiệm,Cao đẳng,Bình DươngTP.HCM,Hành chính/Thư ký/Trợ lýNgoại ngữXây dựng
432,Nhân Viên Văn Phòng Biêt Tiếng Trung 会中文文员和筹备干部,https://timviecnhanh.com/tuyen-nhan-vien-van-phong-biet-tieng-trung-tay-ninh-100177618.html,"Lô 40-6 đường N14, Khu CN Phước Đông - Xã Phước Đông - Huyện Gò Dầu - Tây Ninh",15 - 20 triệu,2 năm,Trung học,Tây NinhTP.HCMBình PhướcBình DươngĐồng Nai,Hành chính/Thư ký/Trợ lýLao động phổ thôngNgoại ngữ
433,Nhân Viên Văn Phòng Biết Tiếng Anh Hoặc Tiếng Hoa,https://timviecnhanh.com/tuyen-nhan-vien-van-phong-biet-tieng-anh-hoac-tieng-hoa-binh-duong-100167838.html,"khu phố Khánh Vân , phường Khánh Bình , thị xã Tân Uyên, tỉnh Bình Dương",10 - 12 triệu,Dưới 1 năm,Cao đẳng,Bình Dương,Hành chính/Thư ký/Trợ lýNgoại ngữTài chính/Kế toán/Kiểm toán
434,Giao Dịch Viên (Không Yêu Cầu Kinh Nghiệm),https://timviecnhanh.com/tuyen-giao-dich-vien-khong-yeu-cau-kinh-nghiem-tp-hcm-100186363.html,"616-618 đường Ba tháng Hai, Phường 14, Quận 10, Hồ Chí Minh",6 - 10 triệu,Chưa có kinh nghiệm,Trung cấp,TP.HCMBình DươngĐồng Nai,Chăm sóc khách hàngHành chính/Thư ký/Trợ lýSinh viên/Mới tốt nghiệp/Thực tập
435,Giám Đốc Tài Chính,https://timviecnhanh.com/tuyen-giam-doc-tai-chinh-tp-hcm-100174078.html,"35, Đường 12, KDC Gia Hoà, Xã Phong Phú, Huyện Bình Chánh",20 - 25 triệu,3 năm,Đại học,TP.HCMBình Dương,Tài chính/Kế toán/Kiểm toánQuản lý điều hànhHành chính/Thư ký/Trợ lý
436,Nhân Viên Xuất Nhập Khẩu,https://timviecnhanh.com/tuyen-nhan-vien-xuat-nhap-khau-binh-duong-100178856.html,"Đường DT747B, Phường Khánh Bình, Thị Xã Tân Uyên, Tỉnh Bình Dương, Việt Nam",10 - 12 triệu,1 năm,Trung cấp,Bình Dương,Xuất - Nhập khẩu/Ngoại thươngHành chính/Thư ký/Trợ lý
437,Nhân Viên Theo Dõi Đơn Hàng,https://timviecnhanh.com/tuyen-nhan-vien-theo-doi-don-hang-binh-duong-100180696.html,Số 116/22 khu phố Bình Phước B - Phường Bình Chuẩn - TX Thuận An - Bình Dương,7 - 10 triệu,1 năm,Trung cấp,Bình Dương,Hành chính/Thư ký/Trợ lýSản xuất/Vận hành sản xuấtTài chính/Kế toán/Kiểm toán
438,Kế Toán Bán Hàng Và Kho Có Kinh Nghiệm,https://timviecnhanh.com/tuyen-ke-toan-ban-hang-va-kho-co-kinh-nghiem-tp-hcm-100180674.html,"Tầng 19, khu A, Indochina Park Tower, 4 Nguyễn Đình Chiểu - Phường Đa Kao - Quận 1 - TP Hồ Chí Minh",7 - 10 triệu,1 năm,Trung cấp,TP.HCMBình Dương,Tài chính/Kế toán/Kiểm toánHành chính/Thư ký/Trợ lýKho vận/Vật tư/Thu mua
439,Kế Toán Cửa Hàng,https://timviecnhanh.com/tuyen-ke-toan-cua-hang-tp-hcm-100181418.html,"52-54-56 Đường số 1, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",7 - 10 triệu,Dưới 1 năm,Trung cấp,TP.HCMBình Dương,Tài chính/Kế toán/Kiểm toánHành chính/Thư ký/Trợ lýQuản lý điều hành
440,Kế Toán Tổng Hợp,https://timviecnhanh.com/tuyen-ke-toan-tong-hop-binh-duong-100177893.html,"Thửa đất số 622, tờ bản đồ số 41, khu phố Bình Chánh, Phường Khánh Bình, Thị xã Tân Uyên, Tỉnh Bình Dương, Việt Nam",8 - 9 triệu,2 năm,Cao đẳng,Bình Dương,Tài chính/Kế toán/Kiểm toánHành chính/Thư ký/Trợ lýNgân hàng/Chứng khoán/Đầu tư
441,Nhân Viên Kinh Doanh Thu Nhập Trên 10 Triệu,https://timviecnhanh.com/tuyen-nhan-vien-kinh-doanh-thu-nhap-tren-10-trieu-tp-hcm-100176501.html,"Số nhà 409/108 Đường Dĩ An, Khu Phố Bình Đường 4, Phường An Bình, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",10 - 14 triệu ( + Hoa hồng từ 3% đến 20%),Dưới 1 năm,Trung cấp,TP.HCMBình Dương,Kinh doanhBán hàngHành chính/Thư ký/Trợ lý
442,Trợ Lý Quản Lý Kho Làm Tại Bình Dương,https://timviecnhanh.com/tuyen-tro-ly-quan-ly-kho-lam-tai-binh-duong-binh-duong-100180885.html,"KP Hóa Nhựt, P. Tân Vĩnh Hiệp, TX. Tân Uyên, Bình Dương",12 - 15 triệu,Chưa có kinh nghiệm,Trung cấp,Bình Dương,Hành chính/Thư ký/Trợ lýKho vận/Vật tư/Thu muaSinh viên/Mới tốt nghiệp/Thực tập
443,Trợ Lý Kinh Doanh (Sales Admin),https://timviecnhanh.com/tuyen-tro-ly-kinh-doanh-sales-admin-tp-hcm-100180680.html,"Tầng 19, khu A, Indochina Park Tower, 4 Nguyễn Đình Chiểu - Phường Đa Kao - Quận 1 - TP Hồ Chí Minh",7 - 10 triệu,1 năm,Trung cấp,TP.HCMBình Dương,Hành chính/Thư ký/Trợ lýKinh doanhKho vận/Vật tư/Thu mua
444,Thư Ký Phòng Lab - Bình Dương,https://timviecnhanh.com/tuyen-thu-ky-phong-lab-binh-duong-binh-duong-100173663.html,"Lô I5-I6, KCN Việt Hương, TP Thuận An, Bình Dương",7 - 10 triệu,1 năm,Trung cấp,Bình DươngTP.HCM,Hành chính/Thư ký/Trợ lýDược/Hóa chất/Sinh hóaNhân sự
445,Nhân Viên Kế Toán Kho,https://timviecnhanh.com/tuyen-nhan-vien-ke-toan-kho-binh-duong-100183994.html,"Số 18, đường số 6, KCN Sóng Thần 1, Dĩ An, Bình Dương, Việt Nam",7 - 10 triệu,1 năm,Trung cấp,Bình Dương,Tài chính/Kế toán/Kiểm toánKho vận/Vật tư/Thu muaHành chính/Thư ký/Trợ lý
446,Nam - Nhân Viên Thống Kê - Bình Dương,https://timviecnhanh.com/tuyen-nam-nhan-vien-thong-ke-binh-duong-binh-duong-100178977.html,"Lô A-3G-CN, Đường NA5, Khu công nghiệp Mỹ Phước 3, Phường Chánh Phú Hòa, Thị xã Bến Cát, Tỉnh Bình Dương, Việt Nam",7 - 10 triệu,Chưa có kinh nghiệm,Trung cấp,Bình Dương,Tài chính/Kế toán/Kiểm toánHành chính/Thư ký/Trợ lýKho vận/Vật tư/Thu mua
447,Kế Toán Viên - Không Yêu Cầu Kinh Nghiệm,https://timviecnhanh.com/tuyen-ke-toan-vien-khong-yeu-cau-kinh-nghiem-binh-duong-100184734.html,"Số 8, đường 18, khu công nghiệp sóng thần 2, thị xã Dĩ An, tỉnh Bình Dương",7 - 10 triệu,Chưa có kinh nghiệm,Cao đẳng,Bình DươngTP.HCMĐồng Nai,Tài chính/Kế toán/Kiểm toánHành chính/Thư ký/Trợ lýNgoại ngữ
448,Kế Toán Nhập Liệu Chứng Từ,https://timviecnhanh.com/tuyen-ke-toan-nhap-lieu-chung-tu-tp-hcm-100186986.html,284 Xô Viết Nghệ Tĩnh P21 Quận Bình Thạnh,8 - 10 triệu,1 năm,Cao đẳng,TP.HCMĐồng NaiLong AnBình Dương,Tài chính/Kế toán/Kiểm toánHành chính/Thư ký/Trợ lýXuất - Nhập khẩu/Ngoại thương
